employee,pattern_type,timestamp,location,latitude,longitude,visit_count,average_visits
Hennie Osvaldo,Late night visit,2014-01-11 03:20:47,Coffee Shack,36.06109856,24.90340157,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:48,Coffee Shack,36.06113464,24.903365,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:51,Coffee Shack,36.06112775,24.90321262,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:53,Coffee Shack,36.0611641,24.90313911,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:54,Coffee Shack,36.06119497,24.90308427,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:56,Coffee Shack,36.06119508,24.90300755,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:02,Coffee Shack,36.06135052,24.90273365,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:04,Coffee Shack,36.0613623,24.90259907,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:05,Kronos Mart,36.06134484,24.90251233,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:07,Kronos Mart,36.06143699,24.90248297,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:13,Kronos Mart,36.06151862,24.90211043,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:14,Kronos Mart,36.0615406,24.90212743,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:16,Kronos Mart,36.06149677,24.90205967,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:20,Kronos Mart,36.06164217,24.90182948,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:21,Kronos Mart,36.06161803,24.9017351,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:24,Kronos Mart,36.06162461,24.90169177,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:27,Kronos Mart,36.06169938,24.90150462,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:29,Kronos Mart,36.06171459,24.90136495,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:33,Kronos Mart,36.06181475,24.90124533,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:34,Kronos Mart,36.06182309,24.90118273,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:38,Kronos Mart,36.06187003,24.90097979,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:44,Kronos Mart,36.06184403,24.90064196,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:49,Kronos Mart,36.0619893,24.90040418,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:50,Kronos Mart,36.06196384,24.90043581,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:52,Kronos Mart,36.06201466,24.90030079,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:53,Kronos Mart,36.06203767,24.90018068,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:55,Kronos Mart,36.06200108,24.90011235,,
Hennie Osvaldo,Late night visit,2014-01-11 03:21:59,Kronos Mart,36.06214875,24.8999867,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:01,Kronos Mart,36.06213792,24.89984858,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:05,Kronos Mart,36.06221812,24.8996105,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:07,Kronos Mart,36.06223402,24.89958083,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:10,Kronos Mart,36.06233132,24.89944191,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:13,Kronos Mart,36.06233084,24.89934165,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:19,Kronos Mart,36.06246074,24.89906723,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:21,Kronos Mart,36.06249145,24.89893609,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:22,Kronos Mart,36.06242198,24.89888789,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:24,Kronos Mart,36.06247085,24.89871515,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:25,Kronos Mart,36.06255484,24.89874633,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:27,Kronos Mart,36.0625784,24.89858038,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:32,Kronos Mart,36.06264688,24.89839476,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:33,Kronos Mart,36.06258916,24.89836442,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:34,Kronos Mart,36.06262835,24.89829958,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:35,Kronos Mart,36.06262223,24.89828349,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:37,Shoppers' Delight,36.06270171,24.89819661,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:42,Shoppers' Delight,36.06273809,24.89796606,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:43,Shoppers' Delight,36.06275517,24.89788357,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:48,Shoppers' Delight,36.06285488,24.89764564,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:50,Shoppers' Delight,36.06292055,24.89753945,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:55,Shoppers' Delight,36.06299613,24.89727856,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:56,Shoppers' Delight,36.0629916,24.89729808,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:58,Shoppers' Delight,36.06298532,24.89720305,,
Hennie Osvaldo,Late night visit,2014-01-11 03:22:59,Shoppers' Delight,36.06300105,24.89706425,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:00,Shoppers' Delight,36.06305203,24.89701992,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:01,Shoppers' Delight,36.06305865,24.8969936,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:02,Shoppers' Delight,36.06311585,24.89698167,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:03,Shoppers' Delight,36.06317107,24.8969469,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:05,Shoppers' Delight,36.06312002,24.89682095,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:06,Shoppers' Delight,36.06319724,24.89683744,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:08,Shoppers' Delight,36.06329479,24.89686251,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:09,Shoppers' Delight,36.06337342,24.89679351,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:12,Shoppers' Delight,36.06345984,24.89683787,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:15,Shoppers' Delight,36.06370258,24.89678272,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:16,Shoppers' Delight,36.06369321,24.89687482,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:18,Shoppers' Delight,36.06375604,24.89686301,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:20,Shoppers' Delight,36.06392541,24.8968455,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:21,Shoppers' Delight,36.063937,24.8967876,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:22,Shoppers' Delight,36.06405488,24.89679674,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:23,Shoppers' Delight,36.06403095,24.89687894,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:24,Shoppers' Delight,36.06412702,24.89682559,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:27,Shoppers' Delight,36.06426514,24.89679919,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:29,Shoppers' Delight,36.06432641,24.89675567,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:31,Shoppers' Delight,36.06434616,24.89664886,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:32,Shoppers' Delight,36.06429832,24.89664997,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:34,Shoppers' Delight,36.06432814,24.89653888,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:36,Shoppers' Delight,36.0644066,24.89647933,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:43,Shoppers' Delight,36.06454703,24.89602993,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:45,Shoppers' Delight,36.06450439,24.89597476,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:46,Shoppers' Delight,36.06457099,24.89595808,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:48,Shoppers' Delight,36.06459828,24.89587427,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:49,Shoppers' Delight,36.0645452,24.89584601,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:52,Shoppers' Delight,36.06466991,24.89568685,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:54,Shoppers' Delight,36.06465983,24.89559828,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:55,Shoppers' Delight,36.06473381,24.89553107,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:57,Shoppers' Delight,36.06475973,24.89544494,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:58,Shoppers' Delight,36.06476597,24.89532098,,
Hennie Osvaldo,Late night visit,2014-01-11 03:23:59,Shoppers' Delight,36.06472021,24.89529669,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:00,Shoppers' Delight,36.06478534,24.89523985,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:02,Shoppers' Delight,36.064849,24.89527412,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:04,Shoppers' Delight,36.0649359,24.89515725,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:05,Shoppers' Delight,36.06495482,24.89522107,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:06,Shoppers' Delight,36.06497817,24.8951652,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:10,Shoppers' Delight,36.06516392,24.89512391,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:11,Shoppers' Delight,36.06523561,24.89513508,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:12,Shoppers' Delight,36.06532474,24.89516269,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:15,Shoppers' Delight,36.06548426,24.89514676,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:16,Shoppers' Delight,36.06549859,24.89509194,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:17,Shoppers' Delight,36.06551375,24.89512828,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:19,Shoppers' Delight,36.06560849,24.89516876,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:22,Shoppers' Delight,36.06579116,24.89509836,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:23,Shoppers' Delight,36.06586426,24.89514499,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:24,Shoppers' Delight,36.06589251,24.8950876,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:25,Shoppers' Delight,36.06590824,24.89509987,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:26,Shoppers' Delight,36.06596293,24.89517446,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:27,Shoppers' Delight,36.06609097,24.89508301,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:29,Shoppers' Delight,36.06615229,24.89515226,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:31,Shoppers' Delight,36.06631263,24.89510925,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:34,Shoppers' Delight,36.06638943,24.89510379,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:35,Shoppers' Delight,36.06651436,24.89513211,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:37,Shoppers' Delight,36.0665082,24.89518006,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:40,Shoppers' Delight,36.06675474,24.89515409,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:42,Shoppers' Delight,36.06677059,24.89520416,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:46,Shoppers' Delight,36.06695927,24.89513842,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:47,Shoppers' Delight,36.06707424,24.89512295,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:49,Shoppers' Delight,36.06715149,24.89522967,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:50,Shoppers' Delight,36.0671632,24.89519736,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:51,Shoppers' Delight,36.06724492,24.89517236,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:52,Shoppers' Delight,36.06734894,24.89524704,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:55,Shoppers' Delight,36.06749635,24.89518374,,
Hennie Osvaldo,Late night visit,2014-01-11 03:24:59,Shoppers' Delight,36.06768778,24.89526361,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:00,Shoppers' Delight,36.06764866,24.89519326,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:01,Shoppers' Delight,36.06773321,24.89525382,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:02,Shoppers' Delight,36.06779741,24.89522167,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:03,Shoppers' Delight,36.06790752,24.89519283,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:04,Shoppers' Delight,36.06787267,24.89521074,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:05,Shoppers' Delight,36.06800222,24.89519512,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:06,Shoppers' Delight,36.06795544,24.89514819,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:07,Shoppers' Delight,36.06804451,24.89513796,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:08,Shoppers' Delight,36.06808776,24.89512992,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:12,Shoppers' Delight,36.06830599,24.89516727,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:13,Shoppers' Delight,36.06838742,24.89520332,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:16,Shoppers' Delight,36.06846621,24.89513805,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:19,Shoppers' Delight,36.06868733,24.89509633,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:22,Shoppers' Delight,36.06877208,24.89515048,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:27,Shoppers' Delight,36.06901444,24.89520834,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:28,Shoppers' Delight,36.06903262,24.89514861,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:30,Shoppers' Delight,36.06919902,24.89513438,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:31,Shoppers' Delight,36.06929805,24.89515169,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:34,Shoppers' Delight,36.06937426,24.89525417,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:35,Shoppers' Delight,36.06948644,24.89525533,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:38,Shoppers' Delight,36.06962755,24.89520839,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:39,Shoppers' Delight,36.06970367,24.89521264,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:46,Shoppers' Delight,36.07002833,24.89512664,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:47,Shoppers' Delight,36.06999991,24.89515839,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:48,Shoppers' Delight,36.07008259,24.89520381,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:49,Shoppers' Delight,36.07011304,24.89513664,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:50,Shoppers' Delight,36.07018702,24.89517944,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:51,Shoppers' Delight,36.07029808,24.89514455,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:52,Shoppers' Delight,36.07024358,24.89510827,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:53,Shoppers' Delight,36.07038658,24.89512118,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:56,Shoppers' Delight,36.07045263,24.89509709,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:57,Shoppers' Delight,36.07056406,24.89520429,,
Hennie Osvaldo,Late night visit,2014-01-11 03:25:59,Shoppers' Delight,36.07058976,24.89522967,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:02,Shoppers' Delight,36.07066582,24.89509934,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:04,Shoppers' Delight,36.07075771,24.89490988,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:07,Shoppers' Delight,36.07076052,24.89467822,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:08,Shoppers' Delight,36.07077657,24.89455516,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:11,Shoppers' Delight,36.07089756,24.89417538,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:13,Shoppers' Delight,36.07087393,24.89408253,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:14,Shoppers' Delight,36.0709029,24.89398981,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:15,Shoppers' Delight,36.07090705,24.89384872,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:17,Shoppers' Delight,36.07098308,24.89359293,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:18,Shoppers' Delight,36.07096243,24.89358027,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:22,Shoppers' Delight,36.0710842,24.89318812,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:23,Shoppers' Delight,36.07101801,24.89301002,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:24,Shoppers' Delight,36.07103744,24.89288889,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:25,Shoppers' Delight,36.07111375,24.89290592,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:28,Shoppers' Delight,36.07114767,24.89253846,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:29,Shoppers' Delight,36.07120164,24.89242773,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:31,Shoppers' Delight,36.07120336,24.89228092,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:32,Shoppers' Delight,36.0711681,24.89215596,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:34,Shoppers' Delight,36.07128092,24.89198628,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:45,Desafio Golf Course,36.07142669,24.89082284,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:46,Desafio Golf Course,36.0714222,24.89080639,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:47,Desafio Golf Course,36.07147324,24.89072447,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:50,Desafio Golf Course,36.07151035,24.89039674,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:52,Desafio Golf Course,36.07148984,24.89014034,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:53,Desafio Golf Course,36.07157538,24.89005849,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:57,Desafio Golf Course,36.07162589,24.88970781,,
Hennie Osvaldo,Late night visit,2014-01-11 03:26:58,Desafio Golf Course,36.07160144,24.88963911,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:09,Desafio Golf Course,36.07204598,24.88866714,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:11,Desafio Golf Course,36.07220495,24.88841035,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:13,Desafio Golf Course,36.07231806,24.88823056,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:16,Desafio Golf Course,36.07240481,24.88799636,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:18,Desafio Golf Course,36.07253578,24.88780213,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:20,Desafio Golf Course,36.07260379,24.88763326,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:21,Desafio Golf Course,36.07262544,24.88756599,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:22,Desafio Golf Course,36.07271989,24.88744018,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:23,Desafio Golf Course,36.07280886,24.8873517,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:24,Desafio Golf Course,36.07285345,24.88728331,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:25,Desafio Golf Course,36.07289771,24.88723953,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:26,Desafio Golf Course,36.07286985,24.88713483,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:27,Desafio Golf Course,36.07300017,24.88702886,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:29,Desafio Golf Course,36.07306526,24.88693387,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:34,Desafio Golf Course,36.07332324,24.88640103,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:38,Desafio Golf Course,36.0735164,24.88608747,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:41,Desafio Golf Course,36.07363193,24.88580498,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:43,Desafio Golf Course,36.0737594,24.88564763,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:46,Desafio Golf Course,36.07389153,24.88539501,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:47,Desafio Golf Course,36.07394926,24.88533963,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:49,Desafio Golf Course,36.07401789,24.88510318,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:50,Desafio Golf Course,36.07408985,24.88501311,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:51,Desafio Golf Course,36.07411978,24.88501705,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:52,Desafio Golf Course,36.07423947,24.88486582,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:53,Desafio Golf Course,36.07425822,24.88483677,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:55,Desafio Golf Course,36.07430713,24.88466232,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:56,Desafio Golf Course,36.07442697,24.88449229,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:57,Desafio Golf Course,36.07442763,24.88441882,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:58,Desafio Golf Course,36.07447106,24.88435075,,
Hennie Osvaldo,Late night visit,2014-01-11 03:27:59,Desafio Golf Course,36.0745453,24.88427353,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:00,Desafio Golf Course,36.07456561,24.88420227,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:01,Desafio Golf Course,36.07467182,24.88414643,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:02,Desafio Golf Course,36.07473693,24.88403504,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:03,Desafio Golf Course,36.07473891,24.8838972,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:04,Desafio Golf Course,36.07478806,24.88382714,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:05,Desafio Golf Course,36.07481355,24.88378353,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:08,Desafio Golf Course,36.07496344,24.88346755,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:09,Desafio Golf Course,36.0750773,24.88340767,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:12,Desafio Golf Course,36.07516785,24.88316745,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:13,Desafio Golf Course,36.07528165,24.88308788,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:15,Desafio Golf Course,36.07532537,24.88290713,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:16,Desafio Golf Course,36.07538103,24.88279876,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:18,Desafio Golf Course,36.07541701,24.88264976,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:19,Desafio Golf Course,36.07536545,24.88254588,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:20,Desafio Golf Course,36.07538175,24.88247091,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:21,Desafio Golf Course,36.07529682,24.88243178,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:22,Desafio Golf Course,36.07529491,24.88247605,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:25,Desafio Golf Course,36.07522399,24.88233067,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:26,Desafio Golf Course,36.07517175,24.88227587,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:27,Desafio Golf Course,36.07511962,24.88228288,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:28,Desafio Golf Course,36.075058,24.88225358,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:31,Desafio Golf Course,36.0749949,24.88214894,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:32,Desafio Golf Course,36.07495525,24.88206602,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:33,Desafio Golf Course,36.07492479,24.88205901,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:34,Desafio Golf Course,36.07490914,24.88198518,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:35,Desafio Golf Course,36.07489954,24.88194563,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:36,Desafio Golf Course,36.07482547,24.88192595,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:37,Desafio Golf Course,36.07481076,24.88185253,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:41,Desafio Golf Course,36.07465541,24.88174389,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:42,Desafio Golf Course,36.07466712,24.88168272,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:43,Desafio Golf Course,36.07456021,24.8816633,,
Hennie Osvaldo,Late night visit,2014-01-11 03:28:44,Desafio Golf Course,36.07457597,24.88164115,,
